Domain;IP;Port;Time Expired;Correct CN;Signature Algorithm;Public Key Algorithm;Public Key Size;Subject CN;Subject C;Subject ST;Subject L;Subject O;Subject OU;Subject Email;Valid not after;Valid not before;Serial Number;Version;Issuer ST;Issuer C;Issuer L;Issuer O;Issuer OU;Issuer CN;
www.01net.com;188.165.55.219;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;bo.01net.com;FR;France;Paris;NIM;StudioWeb;vlae@groupe01.Fr;Dec  5 14:20:50 2013 GMT;Dec  5 14:20:50 2012 GMT;6;0;France;FR;Paris;Groupe01;StudioWeb;CAauthority;
www.10086.cn;218.206.191.72;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.10086.cn;CN;beijing;beijing;China Mobile Communications Corporation ;Department of Business Support System;None;Dec 19 23:59:59 2013 GMT;Nov 19 00:00:00 2012 GMT;38790546251430411269389340408484787636;2;None;US;None;VeriSign, Inc.;VeriSign Trust Network;VeriSign Class 3 Secure Server CA - G3;
www.100bestbuy.com;81.20.66.9;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;a248.e.akamai.net;US;MA;Cambridge;Akamai Technologies, Inc.;None;None;Dec 31 18:47:42 2013 GMT;Jul 24 17:49:01 2013 GMT;120038505;2;None;US;None;GTE Corporation;GTE CyberTrust Solutions, Inc.;GTE CyberTrust Global Root;
www.114la.com;113.107.56.83;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;dynamic.12306.cn;CN;None;None;Sinorail Certification Authority;î¡çÔ[¢b7gR°N-_√;None;Jun  6 13:34:39 2014 GMT;Jan 22 13:34:39 2013 GMT;4474691858901235463;2;None;CN;None;Sinorail Certification Authority;None;SRCA;
www.12306.cn;222.243.110.215;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;dynamic.12306.cn;CN;None;None;Sinorail Certification Authority;î¡çÔ[¢b7gR°N-_√;None;Jun  6 13:34:39 2014 GMT;Jan 22 13:34:39 2013 GMT;4474691858901235463;2;None;CN;None;Sinorail Certification Authority;None;SRCA;
www.123rf.com;103.14.245.12;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.123rf.com;None;None;None;None;GT53765581;None;Nov  3 17:26:34 2013 GMT;Oct  1 07:01:10 2012 GMT;557955;2;None;US;None;GeoTrust, Inc.;None;RapidSSL CA;
www.126.com;176.34.63.150;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;*.163.com;CN;Zhejiang;Hangzhou;NetEase (Hangzhou) Network Co., Ltd;MAIL Dept.;None;Dec  2 20:08:08 2014 GMT;Oct 30 00:45:29 2012 GMT;117169;2;None;US;None;GeoTrust, Inc.;None;GeoTrust SSL CA;
www.163.com;113.107.76.19;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;1024;dynamic.12306.cn;CN;None;None;Sinorail Certification Authority;î¡çÔ[¢b7gR°N-_√;None;May 31 09:56:35 2014 GMT;Jun  1 09:56:35 2011 GMT;2332015364337218903;2;None;CN;None;Sinorail Certification Authority;None;SRCA;
www.17173.com;117.27.230.75;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.17173.com;CN;Beijing;Beijing;Beijing Changyou Gamespace Software Techonology Co.,Ltd;Beijing Changyou Gamespace Software Techonology Co.,Ltd;None;Jul 16 18:52:36 2017 GMT;Jul 14 16:48:34 2013 GMT;155669;2;None;US;None;GeoTrust, Inc.;None;GeoTrust SSL CA;
www.17track.net;218.16.224.52;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.17track.net;CN;None;None;None;None;webmaster@17track.net;Sep  3 00:13:22 2014 GMT;Sep  1 02:26:08 2013 GMT;771714;2;None;IL;None;StartCom Ltd.;Secure Digital Certificate Signing;StartCom Class 1 Primary Intermediate Server CA;
www.192.com;95.128.217.88;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;*.192.com;GB;London;London;192.com Ltd;None;None;May 17 23:59:59 2015 GMT;Mar 18 00:00:00 2013 GMT;118347822369500003755694829349296962421;2;None;US;None;Thawte, Inc.;None;Thawte SSL CA;
www.19lou.com;115.236.99.92;443;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;NOT AVAILABLE;
www.1and1.com;23.38.82.59;443;OK;OK;sha1WithRSAEncryption;rsaEncryption;2048;www.1and1.com;None;None;None;None;Domain Control Validated;None;Apr 24 23:59:59 2014 GMT;Jul 18 00:00:00 2013 GMT;210511106594064254166877313857598123488;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;COMODO SSL CA;
www.1and1.es;23.48.226.59;443;OK;FAIL;sha1WithRSAEncryption;rsaEncryption;2048;www.1and1.com;None;None;None;None;Domain Control Validated;None;Apr 24 23:59:59 2014 GMT;Jul 18 00:00:00 2013 GMT;210511106594064254166877313857598123488;2;Greater Manchester;GB;Salford;COMODO CA Limited;None;COMODO SSL CA;
